query,super_category
Je suis grand-parent. Ai-je droit à des contacts avec mes petits-enfants ?,Droit de la famille
Qu'est-ce qu'une déclaration de préférence ?,Droit de la famille
"Si je n'ai pas d'acte de naissance pour ma demande de citoyenneté, que vais-je faire?",Droit des étrangers
Quelles démarches effectuer si je cause des dommages ?,Droit financier
J'héberge un ami/un proche. Mon ami/proche occupe un de mes appartements inoccupés. Dois-je conclure un contrat de bail ?,Droit immobilier
Ai-je droit à l'aide juridique (ex pro deo) si je suis détenu ou interné ?,Droit pénal
Que faire quand un nouveau colocataire arrive ?,Droit immobilier
Je suis parent. Dois-je encore payer une contribution alimentaire si je n'ai plus de contact avec mes enfants ?,Droit de la famille
Mon voisin peut-il tondre le dimanche ?,Droit immobilier
Je deviens cohabitant légal. A qui appartiennent les biens achetés pendant la cohabitation légale ?,Droit de la famille
Le règlement collectif des dettes empêche-t-il les saisies de mes meubles ?,Droit financier
Je m'assure que le propriétaire a un permis.,Droit immobilier
Comment puis-je présenter ma demande à la Chambre de règlement à l'amiable?,Droit de la famille
Je suis parent. Mon ex ne paie plus la contribution alimentaire. Risque-t-il l'emprisonnement ?,Droit de la famille
Est-il possible d'avoir un premier conseil juridique gratuit?,Droit pénal
"Je suis victime de violences conjugales. L'auteur des violences est étranger non européen, est-ce que je vais perdre mon titre de séjour ?",Droit de la famille
Puis-je être viré de Belgique si je vais me marier ?,Droit des étrangers
"Je suis un parent, mon ex ne paie plus la contribution alimentaire, risque-t-il d'être emprisonné ?",Droit de la famille
Puis-je partir avant la fin de la période de préavis?,Droit immobilier
Les père et mère de l'enfant résident séparément. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant ?,Droit de la famille
Que se passe-t-il si l'huissier saisit un meuble qui ne m'appartient pas ?,Droit financier
Quels sont les risques si je ne paie pas mon stationnement ?,Droit financier
Hébergement d'amis : le propriétaire peut-il m'interdire de le faire à Bruxelles ?,Droit immobilier
Je suis parent. Je suis père/mère de l'enfant. Dois-je payer une contribution alimentaire ?,Droit de la famille
Dois-je installer des détecteurs d'incendie en Wallonie ?,Droit immobilier
Dois-je m'inscrire auprès de la Banque nationale si je ne rembourse pas mon hypothèque?,Droit financier
Mon propriétaire peut-il me réclamer des intérêts de retard en Wallonie ?,Droit immobilier
Et si je n'étais pas d'accord avec la décision du CPAS en Wallonie?,Droit immobilier
Les parents sont mariés ensemble. Quelles démarches effectuer pour être reconnu comme le père de mon enfant si nous sommes mariés ?,Droit de la famille
Et si on n'était pas d'accord sur tout ?,Droit de la famille
Je suis majeur. Je suis né en Belgique. A quelles conditions puis-je demander la nationalité belge si je suis né en Belgique ?,Droit des étrangers
Je suis parent. Puis-je réclamer une contribution alimentaire à mon ex plusieurs années après notre séparation ?,Droit de la famille
Quelle est la meilleure façon de répartir les obligations entre les colocataires?,Droit immobilier
Je vis avec ma famille en Belgique. Je me marie. Puis-je venir en Belgique pour me marier ?,Droit des étrangers
"Je me sépare. On se sépare, qui doit payer le loyer ?",Droit de la famille
Mon conjoint vient de décéder. Quels sont mes droits dans sa succession ?,Droit financier
Qu'est-ce qui se passe en Wallonie ?,Droit immobilier
Je suis un parent et je ne sais pas comment déterminer le montant de la contribution de soutien.,Droit de la famille
"Si je ne paie pas ma facture de carte de crédit, quels sont les risques?",Droit financier
Je divorce par consentement mutuel.,Droit de la famille
Je suis adulte et je suis en Belgique depuis au moins 5 ans.,Droit des étrangers
Je reçois les confidences en tant que professionnel. Puis-je lever le secret pour une «concertation de cas» ?,Droit du travail
"Je suis parent. J'arrête de payer la contribution alimentaire, dois-je acter cela quelque part ?",Droit de la famille
Qui peut introduire la demande de mise sous administration de biens et/ou de la personne ?,Droit de la famille
Devons-nous conclure un accord de common law?,Droit de la famille
Où va mon argent pendant la phase de négociation ?,Droit financier
Le père de l'enfant n'est pas marié à la mère.,Droit de la famille
"Avant que le divorce ne soit prononcé, puis-je demander au tribunal de la famille la garde des enfants?",Droit de la famille
Je n'ai pas signé de bail. Quels sont mes droits à Bruxelles ?,Droit immobilier
Et si on ne peut pas obtenir un certificat médical détaillé ?,Droit de la famille
Quand et comment créer une garantie de location?,Droit immobilier
Le juge refusera-t-il de loger mes enfants si je n'ai pas de chambre pour chaque enfant ?,Droit de la famille
"L'arbre de mon voisin me dérange, puis-je l'élaguer ou le faire couper ?",Droit immobilier
Je vis avec ma famille en Belgique. Je me marie. Je suis étranger: peut-on demander l'annulation de notre mariage ?,Droit des étrangers
J'ai signé une déclaration selon laquelle nous sommes des cohabitants légaux.,Droit de la famille
Je veux divorcer par consentement mutuel. Comment puis-je déterminer le montant de la pension alimentaire?,Droit de la famille
Est-ce que le père biologique doit payer une pension alimentaire pour mon enfant ?,Droit de la famille
Est-ce qu'on peut me demander de réparer les dégâts matériels causés par le combat ?,Droit pénal
Dois-je payer une pension alimentaire à mes grands-parents ?,Droit de la famille
Dois-je payer quelque chose si j'introduis un recours devant le tribunal du travail contre la décision du CPAS ?,Droit de la protection sociale
Je suis un adulte et je suis handicapé.,Droit des étrangers
Qui concrètement gère le budget de la personne protégée en règlement collectif de dettes ?,Droit de la famille
Je suis employeur. Puis-je engager un étranger en séjour illégal ?,Droit des étrangers
"Nous sommes mariés. Nous sommes séparés, vais-je être reconnu comme le père de l'enfant ?",Droit de la famille
Comment puis-je contester un refus d'adresse de référence?,Droit immobilier
A-t-on droit à l'allocation de naissance en cas de fausse couche ou d'enfant mort-né en Wallonie ?,Droit de la protection sociale
Puis-je ne pas payer mes deux derniers mois de loyer pour obtenir la garantie de location?,Droit immobilier
Qu’est-ce qu’un bail de rénovation à Bruxelles ?,Droit immobilier
"L’appartement que je loue a été vendu, le nouveau propriétaire peut-il me mettre dehors à Bruxelles ?",Droit immobilier
Les parents ne sont pas mariés ensemble. Le père de l'enfant est marié à quelqu'un d'autre que la mère. Devant quel tribunal aller en cas de problème lié à la filiation ?,Droit de la famille
Je vis en couple. A qui appartiennent les différents biens si nous vivons en union libre ?,Droit de la famille
Je suis marié et on prend une location.,Droit de la famille
Mon propriétaire peut-il augmenter le loyer après avoir fait du travail ?,Droit immobilier
Mes difficultés financières sont-elles passagères ou récurrentes ?,Droit financier
Est-il possible pour le propriétaire d'exiger un expert pour préparer la situation?,Droit immobilier
Est-il possible que je sois payé pendant le processus?,Droit du travail
Quel est le rôle du tuteur subrogé?,Droit de la famille
Mon propriétaire n’a pas enregistré le bail. Puis-je mettre fin au bail sans préavis ni indemnité à Bruxelles ?,Droit immobilier
"J'héberge un ami/un proche. Mon ami a son adresse de référence chez moi, peut-on saisir mes meubles ?",Droit immobilier
J'héberge un ami/un proche. Puis-je héberger mon ami en échange d'une participation financière ?,Droit immobilier
Je suis adulte et je suis né en Belgique.,Droit des étrangers
"Si je suis en retard pour le paiement en Wallonie, mon propriétaire peut-il m'expulser ?",Droit immobilier
Puis-je être expulsé en hiver ?,Droit financier
Je me sépare. Les mesures urgentes et provisoires prises par le juge de la famille sont-elles limitées dans le temps pour les cohabitants légaux ?,Droit de la famille
Qui doit payer le loyer ?,Droit de la famille
Le père de l'enfant est marié à quelqu'un d'autre que la mère.,Droit de la famille
Pourquoi faut-il déclarer l'enfant à la commune ?,Droit de la famille
J'introduis une demande en justice. Qu'est-ce qu'une remise ?,Droit pénal
Je suis en Belgique depuis au moins 5 ans.,Droit des étrangers
"Si j’ai commis une infraction, peut-on me proposer de payer une certaine somme d’argent sans que je sois condamné par un juge ?",Droit pénal
Pour qui et quand la prolongation pour des circonstances exceptionnelles est-elle utile?,Droit immobilier
Dois-je dire à l'intervieweur que je suis enceinte à l'entretien d'embauche ?,Droit du travail
Est-il possible qu'un seul colocataire mette fin au bail officieux de co-implantation avant la maturité en Wallonie?,Droit immobilier
Je suis parent. L'employeur de mon ex peut-il me payer directement la contribution alimentaire (délégation de sommes) ?,Droit de la famille
"Si je suis propriétaire, puis-je bénéficier de l'aide juridique?",Droit pénal
A qui m’adresser si j'ai un problème avec l’ONEM ?,Droit de la protection sociale
Un lien de filiation entre une mère et son enfant peut-il être annulé?,Droit de la famille
Que puis-je faire si je ne suis pas d’accord avec la décision du tribunal de police ?,Droit pénal
Qu'est-ce que la tutelle d'un enfant mineur ?,Droit de la famille
Quel est le sort de la maison que nous avons achetée ensemble ?,Droit de la famille
Qu'est-ce que l'enquête de salubrité et de surpeuplement en Wallonie ?,Droit immobilier
Je vis avec ma famille en Belgique.,Droit des étrangers
Quelle est la différence entre l'impôt et la redevance?,Droit financier
Qui peut contester la paternité ou la maternité et dans quel délai ?,Droit de la famille
Quelles sont les conséquences de notre séparation en tant que cohabitant légal?,Droit de la famille
Qui prend les mesures urgentes pour le mineur le temps de la procédure ?,Droit de la famille
Peut-on saisir mes chèques-repas ?,Droit financier
Est-il possible que je me fasse crédit sans vérifier mes finances?,Droit financier
"Je suis victime de violences conjugales. En tant que victime de violences conjugales, puis-je divorcer si mon mari refuse ?",Droit de la famille
Les père et mère de l'enfant résident ensemble. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant mineur ?,Droit de la famille
Le père et la mère de l'enfant vivent ensemble.,Droit de la famille
"Si je travaille à temps plein, ou si je suis incapable de travailler, que se passera-t-il ?",Droit pénal
Comment rédiger un état des lieux à Bruxelles ?,Droit immobilier
Comment répartir les charges entre les différents locataires d'une copropriété à Bruxelles ?,Droit immobilier
Quel est le coût de l'huissier de justice ?,Droit pénal
Quel est l'objectif du maire en termes d'insalubrité en Wallonie ?,Droit immobilier
Je suis tuteur. Quelle(s) responsabilité(s) puis-je encourir comme tuteur vis-à-vis du MENA ?,Droit des étrangers
Je reçois les confidences en tant que professionnel.,Droit du travail
Tu dois passer un examen médical avant de retourner au travail ?,Droit de la protection sociale
"Je suis convoqué au tribunal, que faire ?",Droit pénal
Je suis parent. Qu'est-ce que l'obligation alimentaire des parents envers leur enfant ?,Droit de la famille
Comment savoir si ma maison est surpeuplée ?,Droit immobilier
Que s'est-il passé le 1er septembre 2019 ?,Droit de la famille
Qu'est-ce qu'une saisie ?,Droit financier
J'ai été condamné à une peine de prison. Puis-je obtenir une libération conditionnelle ?,Droit pénal
La mère de l'enfant n'est pas mariée au père.,Droit de la famille
Je pense que mon logement est insalubre. Je m'adresse au bourgmestre. Quelle est la mission du bourgmestre en matière d'insalubrité en Wallonie ?,Droit immobilier
J'introduis une demande en justice. Suis-je obligé de prendre un avocat ?,Droit pénal
Je suis convoqué en justice. Que faire si mon adversaire ne respecte pas la décision de justice ?,Droit pénal
Puis-je porter plainte si je suis blessé au cours d’une bagarre ?,Droit pénal
Dois-je vivre avec mon enfant pour toujours ?,Droit de la famille
Combien me coûte mon administrateur de biens ou de la personne ?,Droit de la famille
Je m'assure que le propriétaire a obtenu un permis de location. Le permis de location peut-il être retiré ?,Droit immobilier
Je me sépare. Puis-je demander au tribunal de la famille la garde des enfants avant que le divorce soit prononcé ?,Droit de la famille
L'entreprise est située en Belgique.,Droit financier
Pour quels problèmes faire appel à un médiateur familial ?,Droit de la famille
Qu'est-ce que je risque comme sanctions si je travaille au noir ?,Droit du travail
Comment solutionner mon conflit de voisinage ?,Droit immobilier
Le bail officiel de colocation prend-il automatiquement fin à l’échéance à Bruxelles ?,Droit immobilier
Je passe à la vie et je ne sais pas comment contester le montant que je dois payer.,Droit financier
Est-ce qu'on peut déclarer la naissance de mon enfant ?,Droit de la protection sociale
Je suis convoqué en justice. Qu'est-ce qu'une citation ?,Droit pénal
Je me marie. Dois-je aider mon conjoint s'il est dans le besoin ?,Droit de la famille
Quel est le coût de l'huissier de justice ?,Droit financier
En quoi suis-je responsable de mon enfant ?,Droit de la famille
"Je vais me marier, quel genre de mariage veux-je ?",Droit de la famille
Je vais au tribunal.,Droit pénal
Puis-je engager un extraterrestre illégal ?,Droit des étrangers
Quels sont les entretiens et réparations à charge du locataire à Bruxelles ?,Droit immobilier
Puis-je modifier le montant de l'aide?,Droit de la famille
Combien de temps dure ma facture de gaz et d'électricité à Bruxelles ?,Droit financier
Dois-je installer des détecteurs incendie à Bruxelles ?,Droit immobilier
"J'ai une procédure en néerlandais, que faire ?",Droit pénal
J'ai signé une déclaration de cohabitation légale.,Droit de la famille
A quoi sert le secret professionnel ?,Droit du travail
Qu'est-ce que la motion conjointe ?,Droit pénal
Je suis en séjour illégal en Belgique (sans papiers). Je suis étranger. La commune peut-elle refuser que je reconnaisse mon enfant ?,Droit des étrangers
Puis-je contester le refus de mon mariage?,Droit de la famille
Je loue un garage. Quelles règles s'appliquent à mon bail en Wallonie ?,Droit immobilier
Puis-je mettre fin au bail à vie à Bruxelles ?,Droit immobilier
Comment obtenir une nouvelle décision du juge de la famille a changé depuis le jugement.,Droit de la famille
Est-ce que le salaire de mon conjoint m'appartient aussi ?,Droit de la famille
Qui doit payer le précompte immobilier ?,Droit financier
Comment faire un état des lieux à Bruxelles ?,Droit immobilier
Le bail officiel se termine-t-il à Bruxelles ?,Droit immobilier
Dans quels cas puis-je être révoqué de la procédure en règlement collectif de dettes ?,Droit financier
Faut-il un permis de location pour une colocation en Wallonie ?,Droit immobilier
Je loue un kot en Wallonie.,Droit immobilier
"Avant de décider comment loger les enfants, à quel juge devrions-nous aller ?",Droit de la famille
Je vis avec ma famille en Belgique. Je me marie. Que se passe-t-il si je suis étranger et qu'on retarde la célébration de mon mariage ?,Droit des étrangers
Puis-je rompre le bail à Bruxelles parce que mon propriétaire ne fait pas les réparations nécessaires ?,Droit immobilier
Je me confie à un professionnel. Quels sont mes recours si un professionnel révèle les informations que je lui ai confiées ?,Droit du travail
Quelle est l'utilisation de la garantie de location?,Droit immobilier
Je vis avec ma famille en Belgique.,Droit des étrangers
Ai-je des contacts avec mes petits-fils ?,Droit de la famille
Quel genre de sanctions dois-je faire si je travaille dans l'obscurité ?,Droit du travail
Un bail écrit est-il requis à Bruxelles?,Droit immobilier
Est-il possible qu'un seul colocataire mette fin au bail officieux de co-implantation avant la maturité en Wallonie?,Droit immobilier
Que faire si je ne suis pas d'accord avec les décisions prises à propos de mes petits-enfants ?,Droit de la famille
Est-il possible pour moi d'avoir l'assistance gratuite d'un avocat?,Droit pénal
Nous ne sommes pas mariés. Peut-on m'obliger à établir un lien de filiation avec mon enfant si ni moi ni la mère ne sommes mariés ?,Droit de la famille
Quels types de décisions relèvent de l'autorité parentale ?,Droit de la famille
Je suis majeur. Je séjourne en Belgique depuis au moins 10 ans. Que faire si je n'ai pas d'acte de naissance pour ma demande de nationalité ?,Droit des étrangers
Je divorce à cause d'une désunion irrémédiable.,Droit de la famille
Je pense que mon logement est insalubre. Je contacte le propriétaire. Mon logement est insalubre et le propriétaire ne réagit pas. Puis-je suspendre le paiement des loyers en Wallonie ?,Droit immobilier
Je suis parent. Puis-je demander une augmentation de la contribution alimentaire si ma fille commence des études supérieures ?,Droit de la famille
Je suis majeur. Je suis apatride. Comment obtenir le statut d'apatride ?,Droit des étrangers
L'allocation pour l'aide aux personnes âgées (APA) diminue-t-elle si je vis avec d'autres personnesà Bruxelles ?,Droit immobilier
"Je me sépare. On se sépare, qui doit payer le loyer ?",Droit de la famille
Puis-je arrêter ma guidance/gestion budgétaire ?,Droit financier
Je pense que mon logement est insalubre. Je m'adresse à la Région wallonne ou à la commune compétente en vue de faire réaliser une enquête de salubrité et de surpeuplement. Quelles sont les conséquences du résultat de l'enquête en Wallonie ?,Droit immobilier
Mon propriétaire peut-il mettre d'initiative mes meubles à la rue en Wallonie ?,Droit immobilier
Je vis avec ma famille en Belgique. Je me marie. Comment faire pour me marier en Belgique ?,Droit des étrangers
Dois-je installer des détecteurs d'incendie en Wallonie ?,Droit financier
Je me sépare. Peut-on se séparer d'un commun accord sans déclaration de fin de cohabitation légale ?,Droit de la famille
Comment obtenir la garantie de location à Bruxelles ?,Droit immobilier
Dois-je entretenir la chaudière chaque année ?,Droit immobilier
Est-ce qu'on peut vendre ma maison si je ne rembourse pas mon hypothèque ?,Droit financier
Je peux accueillir quelqu'un que je veux ?,Droit immobilier
Peut-on m'expulser en hiver à Bruxelles ?,Droit immobilier
Mon propriétaire peut-il commencer mes meubles dans la rue ?,Droit immobilier
Le propriétaire peut-il mettre fin au bail officiel de colocation avant l’échéance à Bruxelles ?,Droit immobilier
Suis-je payé pendant la procédure du trajet de réintégration ?,Droit de la protection sociale
Je suis convoqué en justice. Qu'est-ce qu'une requête ?,Droit pénal
"J'héberge un ami/un proche. Mon ami vit chez moi et participe aux frais, puis-je lui demander de partir ?",Droit immobilier
"Notre propriétaire ne fait pas les réparations, que faire à Bruxelles ?",Droit immobilier
Je suis victime de violence familiale et je ne sais pas quels sont mes droits.,Droit de la famille
Qu'est-ce que la saisie immobilière?,Droit financier
L’indexation de mon loyer est-elle automatique à Bruxelles ?,Droit immobilier
"Si je suis victime d'une infraction, puis-je déposer une plainte auprès de l'accusation?",Droit pénal
Je ne sais pas ce que mes droits sont dans son domaine.,Droit financier
Puis-je introduire une action en cas d'avis négatif concernant ma demande de nationalité?,Droit des étrangers
Comment et à quelle fréquence s'organisent les visites de domicile en Wallonie ?,Droit immobilier
A quelles conditions puis-je obtenir la prorogation pour circonstances exceptionnelles à Bruxelles ?,Droit immobilier
Un bail écrit est-il obligatoire à Bruxelles ?,Droit immobilier
Je me sépare. Comment la cohabitation légale prend-elle fin ?,Droit de la famille
Que faire si je ne suis pas d'accord avec la décision du CPAS à Bruxelles ?,Droit immobilier
Je suis travailleuse salariée. Puis-je refuser de faire des heures supplémentaires ou de travailler de nuit ?,Droit de la protection sociale
Je suis majeur. Je suis handicapé . Comment se déroule la procédure de demande de nationalité ?,Droit des étrangers
Dois-je signaler ce que je vois à la police ?,Droit pénal
L'arbre de mon voisin a-t-il plus de 30 ans ?,Droit immobilier
"Si l'autre parent prenait une décision avec laquelle je ne suis pas d'accord, que se passerait-il ?",Droit de la famille
Comment faire une donation ?,Droit financier
Qu'est-ce qu'un certificat médical circonstancié ?,Droit de la famille
Comment contester la décision d'un organisme de sécurité sociale?,Droit de la protection sociale
Qu'est-ce que la médiation criminelle?,Droit pénal
Cette proposition de payer sans poursuites peut-elle être faite pour n’importe quelle infraction que j’ai commise ?,Droit pénal
Après combien de temps ma dette de crédit hypothécaire est-elle prescrite ?,Droit financier
Comment faire face à la force majeure médicale?,Droit du travail
L’état des lieux est-il obligatoire à Bruxelles ?,Droit immobilier
Je me sépare. Que faire si j’estime que les mesures urgentes et provisoires prises par le juge de la famille sont injustes ?,Droit de la famille
L'entreprise est située en Belgique.,Droit financier
Je mets un appartement ou une maison en location (bail de résidence principale). Comment faire pour expulser mon locataire en Wallonie ?,Droit immobilier
Puis-je demander au juge des facilités de paiement ?,Droit financier
"Si je ne paie pas mon crédit à la consommation, peut-on saisir mes revenus ?",Droit financier
"Je suis en règlement des dettes, et si je meurs ?",Droit financier
Dois-je comparaître devant le tribunal de police ?,Droit pénal
Je vis en union libre. Devons-nous faire une convention de vie commune ?,Droit de la famille
Je pense que mon logement est insalubre. Je m'adresse à la Région wallonne ou à la commune compétente en vue de faire réaliser une enquête de salubrité et de surpeuplement. Qu'est-ce que l'enquête de salubrité et de surpeuplement en Wallonie ?,Droit immobilier
Je suis dans un séjour illégal en Belgique.,Droit des étrangers
Je divorce à cause d'une désunion irrémédiable.,Droit de la famille
Mon propriétaire peut-il mettre fin au bail de longue durée avant l’échéance à Bruxelles ?,Droit immobilier
"Mon propriétaire ne fait pas les réparations nécessaires, puis-je suspendre le paiement de mon loyer à Bruxelles ?",Droit immobilier
Je mets un kot en location (bail de droit commun). Que se passe-t-il si je n'ai pas demandé le permis de location en Wallonie ?,Droit immobilier
Comment se déroule une expulsion à Bruxelles ?,Droit immobilier
Quelles démarches effectuer après l'accouchement pour être considérée comme la maman de l'enfant ?,Droit de la famille
Je pense que mon logement est insalubre. Je m'adresse au juge de paix. Comment introduire ma demande auprès du juge de paix en cas d'insalubrité ?,Droit immobilier
À quelle fréquence les visites à domicile ont-elles lieu en Wallonie?,Droit immobilier
"Quand j'aurai été révoqué, puis-je introduire un nouveau règlement collectif de la dette?",Droit financier
Mon propriétaire peut-il mettre fin au bail de 9 ans pour faire des travaux dans le logement à Bruxelles ?,Droit immobilier
Quel est le recours contre la décision du Bureau de l'aide juridique?,Droit pénal
Qui doit réparer le mur mitoyen ?,Droit immobilier
Comment puis-je résoudre le conflit dans mon quartier ?,Droit immobilier
Je me marie. Puis-je contester le refus de mon mariage ?,Droit de la famille
"Je divorce. En tant que victime de violences conjugales, puis-je divorcer si mon mari refuse ?",Droit de la famille
Est-ce interdit de faire des tags/graffitis sur un mur ?,Droit pénal
Je reçois les confidences en tant que professionnel et puis-je tout dire à mes collègues?,Droit du travail
Quel est le coût d'une procédure en règlement collectif de dettes (RCD) ?,Droit financier
"Si les parents ne sont pas mariés, puis-je avoir un lien de filiation avec mon enfant?",Droit de la famille
"Nous sommes mariés, quel sera le nom de notre enfant ?",Droit de la famille
Puis-je choisir personnellement mon avocat ?,Droit pénal
Je suis convoqué en justice. A qui m'adresser pour avoir certains renseignements sur la procédure en justice ?,Droit pénal
Je suis un étranger avec un enfant en Belgique.,Droit des étrangers
La police est-elle obligée de donner suite à ma plainte?,Droit pénal
Quand allons-nous jeter un coup d'œil à la situation à Bruxelles?,Droit immobilier
Mon propriétaire peut-il augmenter le loyer en cours de bail à Bruxelles ?,Droit immobilier
Je suis majeur. Je suis marié à un/une Belge. Comment se déroule la procédure de demande de nationalité ?,Droit des étrangers
Je vis avec ma famille en Belgique. Je me marie. L'officier d'état civil peut-il refuser mon mariage ?,Droit des étrangers
Puis-je changer de personne de confiance ou mettre fin à sa mission ?,Droit de la famille
Dois-je payer les frais de gestion d'agence immobilière à Bruxelles ?,Droit immobilier
Mon partenaire est décédé. Quels sont mes droits dans sa succession ?,Droit financier
Je suis marié et je ne sais pas si je dois reconnaître mon enfant.,Droit de la famille
Mon employeur saura-t-il si je suis en règlement des dettes ?,Droit financier
Quels frais l'hôpital peut-il ajouter à ma facture pour le retard de paiement ?,Droit financier
Puis-je porter plainte au parquet si je suis victime d’une infraction ?,Droit pénal
Le juge de la famille peut-il forcer l'un d'entre nous à quitter la maison familiale?,Droit de la famille
Quelles tâches vais-je effectuer pour ma peine de travail ?,Droit pénal
Comment trouver un endroit pour un enfant mineur?,Droit de la famille
Que faire lorsque les dettes sont réglées ensemble?,Droit financier
Est-il possible de mettre mon cohabitant légal à la porte ?,Droit de la famille
Je reçois les confidences en tant que professionnel. Puis-je tout dire à mes collègues si nous travaillons en réseau ou en équipe pluridisciplinaire ?,Droit du travail
Je suis adulte et handicapé. Comment peut-on demander une nationalité ?,Droit des étrangers
Je vis avec ma famille en Belgique. Je me marie. Puis-je effectuer un recours si on refuse mon mariage ?,Droit des étrangers
Quand dois-je payer ma dette ?,Droit financier
Je suis apatride et adulte.,Droit des étrangers
Puis-je introduire un recours en urgence ?,Droit de la protection sociale
"Si j'ai besoin d'argent, qui est victime de violence familiale ?",Droit de la famille
Quels sont les enfants couverts par une assurance RC familiale ?,Droit financier
"Si nous retardons la célébration de mon mariage, que se passera-t-il ?",Droit de la famille
J'introduis une demande en justice. A qui m'adresser pour avoir certains renseignements sur la procédure en justice ?,Droit pénal
Comment contester ma facture d'eau en Wallonie ?,Droit financier
Je vis avec ma famille en Belgique. J'ai un enfant en Belgique. Je suis étranger. Quels documents dois-je déposer à la commune pour reconnaitre mon enfant ?,Droit des étrangers
Qu'est-ce qu'une motion?,Droit pénal
Ai-je droit à l'aide juridique (ex pro deo) si je suis surendetté ?,Droit pénal
Peut-on m’interdire d’écouter ma musique avec le volume au maximum ?,Droit immobilier
Que fait le médiateur de dettes lorsqu'il a été désigné ?,Droit financier
"Je me sépare. En tant que cohabitants légaux, à quelles conditions peut-on demander des mesures urgentes et provisoires au juge de la famille ?",Droit de la famille
Quelles responsabilités puis-je assumer en tant que tuteur par rapport à la MENA?,Droit des étrangers
Le consentement des deux parents est toujours nécessaire pour prendre des décisions concernant l'enfant.,Droit de la famille
Je veux divorcer à cause d'une désunion irrémédiable.,Droit de la famille
Un bail écrit est-il obligatoire en Wallonie ?,Droit immobilier
Quand dois-je payer l'amende pénale ?,Droit pénal
A quelles conditions dois-je payer une pension alimentaire à mon père/ma mère ?,Droit de la famille
Je suis marié(e). Mon conjoint peut-il m'obliger à travailler pour faire face aux dépenses du ménage ?,Droit de la famille
"Mon voisin refuse de vendre sa mitoyenneté, que dois-je faire ?",Droit immobilier
A quelles conditions ai-je droit à l’allocation pour l’aide aux personnes âgées (APA) ?,Droit de la protection sociale
Je me sépare. Puis-je quitter le logement familial sans perdre mes droits si je suis cohabitant légal ?,Droit de la famille
Est-il possible de ne pas écouter ma musique avec le plus grand volume ?,Droit immobilier
Quels recours exercer contre les abus lors d'un recouvrement amiable ?,Droit financier
Mon ami est domicilié chez moi. Peut-on saisir mes meubles ?,Droit financier
Qu'est-ce qu'une citation ?,Droit pénal
Mon enfant est-il couvert s'il commet un acte intentionnel?,Droit financier
Puis-je ne pas payer mes deux derniers mois de loyer pour obtenir la garantie de location?,Droit immobilier
